,EM,BLEU,brevity_penalty,ratio,translation_length,reference_length,precisions_0,precisions_1,precisions_2,precisions_3,max_length,do_sample,num_beams,renormalize_logits,repetition_penalty,diversity_penalty,top_p,top_k,penalty_alpha,temperature,experiment_name
0,0.0,0.12131326885837501,1.0,2.761904761904762,8584,3108,0.24764123471170646,0.15462581025338834,0.09432387312186978,0.059966216216216214,512,True,1,False,1,0,1.0,50,,1.0,/root/experiments/t2c_concode_220428_v32/
1,0.0,0.11339231408576725,1.0,2.907979407979408,9038,3108,0.24106648965593538,0.14587761494574336,0.08687782805429864,0.054112801738931474,512,True,1,False,1,0,1.0,50,0.5,1.0,/root/experiments/t2c_concode_220428_v32/
2,0.0,0.11180466607123729,1.0,2.861003861003861,8892,3108,0.2430001124479928,0.14625270101216878,0.08454106280193237,0.05200698080279232,512,True,1,False,1,0,1.0,100,,1.0,/root/experiments/t2c_concode_220428_v32/
3,0.0,0.12014781029939596,1.0,2.8333333333333335,8806,3108,0.24843874190984444,0.1535546112323418,0.09258828996282528,0.058996356798683744,512,True,1,False,1,0,1.0,100,0.5,1.0,/root/experiments/t2c_concode_220428_v32/
4,0.0,0.1255716866790231,1.0,2.655727155727156,8254,3108,0.23622047244094488,0.15340282035561006,0.10054617676266137,0.06824179967324369,512,True,1,False,1,0,0.5,50,,1.0,/root/experiments/t2c_concode_220428_v32/
5,0.0,0.11576186128402924,1.0,2.7715572715572714,8614,3108,0.22484039466047592,0.13928361714621257,0.09101711026615969,0.06300348683419502,512,True,1,False,1,0,0.5,50,0.5,1.0,/root/experiments/t2c_concode_220428_v32/
6,0.0,0.12605157209703938,1.0,2.787966537966538,8665,3108,0.23851834756519733,0.15246322671024984,0.10050785402149522,0.06907265774378585,512,True,1,False,1,0,0.5,100,,1.0,/root/experiments/t2c_concode_220428_v32/
7,0.0,0.11855922307132238,1.0,2.8265765765765765,8785,3108,0.23423628499886182,0.14609716785632051,0.09281471992546873,0.06220546654099906,512,True,1,False,1,0,0.5,100,0.5,1.0,/root/experiments/t2c_concode_220428_v32/
